country,total_population_2022,pct_under_20, pct_over_60,deaths_due_to_ncd,income_group,gdp_per_capita,    inactivity_adolescent_male,  inactivity_adolescent_female,    inactivity_adult_male,    inactivity_adult_female, inactivity_70_male,   inactivity_70_female
Tajikistan,9953000,0.45,0.06,0.73,LOW,3854,N/A,N/A,0.2,0.39,0.32,0.55
Thailand,71698000,0.21,0.22,0.77,UPPER MIDDLE,18198,0.7,0.85,0.22,0.27,0.34,0.42
Timor-Leste,1342000,0.46,0.07,0.53,LOWER MIDDLE,4141,0.86,0.93,0.1,0.26,0.17,0.39
Togo,8849000,0.5,0.05,0.41,LOW,2223,N/A,N/A,0.09,0.1,0.15,0.18
Tonga,107000,0.45,0.09,0.79,UPPER MIDDLE,6694,0.87,0.85,0.09,0.26,0.14,0.4
Trinidad and Tobago,1532000,0.25,0.17,0.83,HIGH,26125,0.79,0.86,0.27,0.49,0.41,0.65
Tunisia,12357000,0.32,0.14,0.86,LOWER MIDDLE,10879,0.75,0.88,0.26,0.34,0.4,0.5
Turkiye,85342000,0.31,0.13,0.9,UPPER MIDDLE,27235,0.77,0.86,0.22,0.39,0.34,0.55
Turkmenistan,6431000,0.39,0.09,0.72,UPPER MIDDLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tuvalu,11400,0.4,0.11,N/A,UPPER MIDDLE,4792,0.85,0.89,0.18,0.37,0.28,0.53
Uganda,47250000,0.57,0.03,0.36,LOW,2294,0.84,0.87,0.05,0.06,0.09,0.11
Ukraine,39702000,0.2,0.26,0.92,LOWER MIDDLE,13087,0.71,0.83,0.19,0.2,0.3,0.33
United Arab Emirates,9442000,0.19,0.03,0.77,HIGH,66766,0.78,0.87,0.39,0.49,0.45,0.56
United Kingdom of Great Britain and Northern Ireland,67509000,0.23,0.25,0.88,HIGH,46527,0.75,0.85,0.32,0.4,0.47,0.56
United Republic of Tanzania,65498000,0.54,0.05,0.34,LOW,2780,0.78,0.86,0.06,0.07,0.1,0.13
United States of America,338290000,0.25,0.23,0.88,HIGH,63028,0.64,0.81,0.32,0.48,0.47,0.65
Uruguay,3423000,0.26,0.21,0.86,HIGH,22728,0.75,0.89,0.19,0.26,0.3,0.4
Uzbekistan,34628000,0.38,0.09,0.85,LOWER MIDDLE,7746,N/A,N/A,0.13,0.24,0.22,0.38
Vanuatu,327000,0.49,0.06,0.74,LOWER MIDDLE,3036,0.86,0.89,0.07,0.09,0.12,0.15
Venezuela (Bolivarian Republic of),28302000,0.37,0.13,0.65,UPPER MIDDLE,N/A,0.85,0.93,0.3,0.33,0.44,0.49
Vietnam,98187000,0.29,0.14,0.91,LOWER MIDDLE,10904,0.82,0.91,0.2,0.31,0.31,0.46
Yemen,33697000,0.5,0.04,0.5,LOW,N/A,0.83,0.9,N/A,N/A,N/A,N/A
Zambia,20018000,0.54,0.03,0.35,LOWER MIDDLE,3457,0.89,0.89,0.19,0.25,0.23,0.3
Zimbabwe,16321000,0.52,0.05,0.39,LOWER MIDDLE,3537,0.89,0.89,0.23,0.31,0.35,0.46
